filetag	runNo	nlexCs	lexCstartW	pChangeIndexation	inputSet	likelihood	SSE	w_ku	w_fi	w_ku_pl	w_fi_pl	predicted_p_fi_wug	experiment_p_fi
2_1_025_12pt5___1	1	2	1	0.25	typeTokenInput_12pt5	-0.0144390737961654	1.74E-05	0.980000000000001	0.3	0	0.6	0.480010659844418	0.11
2_1_025_12pt5___2	2	2	1	0.25	typeTokenInput_12pt5	-0.00814768530847964	1.48E-05	0.58	0.07	7.76999999999988	7.38999999999989	0.291109827433882	0.11
2_1_025_12pt5___3	3	2	1	0.25	typeTokenInput_12pt5	-0.0104494679416708	1.69E-05	0	1.76	5.76999999999992	1.61	0.0831726964939286	0.11
2_1_01_12pt5___1	1	2	1	0.1	typeTokenInput_12pt5	-0.0291018777706054	0.000193817687459525	4.01999999999996	0.01	4.36999999999995	6.9199999999999	0.188467325213818	0.11
2_1_001_12pt5___1	1	2	1	0.01	typeTokenInput_12pt5	-0.0387756425022976	0.000275676552124786	3.25999999999997	0.46	2.90999999999998	0	0.00330173497808759	0.11
2_1_075_12pt5___1	1	2	1	0.75	typeTokenInput_12pt5	-0.00410585716683887	3.29E-06	0.16	0.19	8.59999999999986	7.91999999999988	0.342989537326504	0.11
2_1_025_12pt5___4	4	2	1	0.25	typeTokenInput_12pt5	-0.00792532686689154	1.44E-05	2.72999999999999	0.01	3.68999999999996	6.45999999999991	0.512497396484199	0.11
2_1_005_12pt5___1	1	2	1	0.05	typeTokenInput_12pt5	-0.0192068834710255	0.000108863672976915	1.85	0.55	2.32999999999999	0	0.0258312385246642	0.11
2_1_099_12pt5___1	1	2	1	0.99	typeTokenInput_12pt5	-0.00106723922622978	3.12E-07	0.19	0.07	10.0099999999998	9.26999999999985	0.297339345655272	0.11
2_1_01_12pt5___2	2	2	1	0.1	typeTokenInput_12pt5	-0.025610825153667	0.00019315691697784	4.06999999999996	0.15	4.18999999999995	6.8499999999999	0.220973892220185	0.11
2_1_001_12pt5___2	2	2	1	0.01	typeTokenInput_12pt5	-0.038209948242798	0.000350799435629905	2.86999999999998	0.5	2.64999999999999	0	0.00656119313401643	0.11
2_1_075_12pt5___2	2	2	1	0.75	typeTokenInput_12pt5	-0.0120594776603537	1.28E-05	0.25	0.04	0	1.09	0.706822221093568	0.11
2_1_025_12pt5___5	5	2	1	0.25	typeTokenInput_12pt5	-0.0106929812761945	4.21E-05	0.67	0.25	1.16	0	0.170795482022374	0.11
2_1_005_12pt5___2	2	2	1	0.05	typeTokenInput_12pt5	-0.0243894228394023	0.000256628914362631	0.78	0.65	4.56999999999995	0.54	0.0153677055652764	0.11
2_1_099_12pt5___2	2	2	1	0.99	typeTokenInput_12pt5	-0.000261126347576033	7.65E-09	0.16	0.03	11.2399999999998	10.9299999999998	0.391740969253487	0.11
2_1_01_12pt5___3	3	2	1	0.1	typeTokenInput_12pt5	-0.0254580870321979	0.000112816248576094	0.0599999999999999	1.26	4.74999999999994	0.69	0.0541667004812391	0.11
2_1_001_12pt5___3	3	2	1	0.01	typeTokenInput_12pt5	-0.0399071030525258	0.000425804567318034	2.70999999999999	1.44	3.85999999999996	0	0.00588176068092177	0.11
2_1_075_12pt5___3	3	2	1	0.75	typeTokenInput_12pt5	-0.00493703249862016	3.77E-06	0.33	0.09	1.42	1.05	0.35205919791935	0.11
2_1_025_12pt5___6	6	2	1	0.25	typeTokenInput_12pt5	-0.00847484854883861	1.35E-05	0.84	0.19	7.63999999999988	7.42999999999989	0.297339345655269	0.11
2_1_005_12pt5___3	3	2	1	0.05	typeTokenInput_12pt5	-0.0226459563910202	0.000111176513587818	2.55999999999999	0.02	6.48999999999991	7.27999999999989	0.148047198031689	0.11
2_1_099_12pt5___3	3	2	1	0.99	typeTokenInput_12pt5	-0.00098193914118256	2.25E-07	0.16	0.07	10.0399999999998	9.35999999999985	0.316479106263687	0.11
2_1_01_12pt5___4	4	2	1	0.1	typeTokenInput_12pt5	-0.0161354582468438	4.01E-05	0.0899999999999999	1.21	4.96999999999994	1.01	0.0552005377829376	0.11
2_1_001_12pt5___4	4	2	1	0.01	typeTokenInput_12pt5	-0.0405328561441257	0.000389451658026172	1.95	0	3.23999999999997	0	0.00554113159192754	0.11
2_1_075_12pt5___4	4	2	1	0.75	typeTokenInput_12pt5	-0.00475323210066229	7.76E-06	0.36	0.02	8.56999999999986	7.84999999999988	0.257309454697317	0.11
2_1_025_12pt5___7	7	2	1	0.25	typeTokenInput_12pt5	-0.010221188334705	1.30E-05	0.56	0.09	7.45999999999988	7.31999999999989	0.35205919791935	0.11
2_1_005_12pt5___4	4	2	1	0.05	typeTokenInput_12pt5	-0.0191922444398532	4.48E-05	0.970000000000001	0.42	3.21999999999997	0	0.0225326394564479	0.11
2_1_099_12pt5___4	4	2	1	0.99	typeTokenInput_12pt5	-0.00119417363714532	3.34E-07	0.17	0.06	9.83999999999983	9.16999999999985	0.314319886061749	0.11
2_1_01_12pt5___5	5	2	1	0.1	typeTokenInput_12pt5	-0.0285526000584034	0.000249151734689303	2.09	0.03	7.11999999999989	7.53999999999988	0.162465062580695	0.11
2_1_001_12pt5___5	5	2	1	0.01	typeTokenInput_12pt5	-0.105247804628572	0.00283056300880196	2.2	0.36	2.87999999999998	0.109999999999999	0.00985375552323147	0.11
2_1_075_12pt5___5	5	2	1	0.75	typeTokenInput_12pt5	-0.00765268441188167	2.84E-05	0.3	0.06	1.33	0	0.172216391733878	0.11
2_1_025_12pt5___8	8	2	1	0.25	typeTokenInput_12pt5	-0.00978902030505393	2.23E-05	2.58999999999999	0.02	2.27999999999999	5.56999999999993	0.672607017067748	0.11
2_1_005_12pt5___5	5	2	1	0.05	typeTokenInput_12pt5	-0.0222578419532234	7.22E-05	0.37	0.62	4.56999999999995	1.02	0.035571189272638	0.11
2_1_099_12pt5___5	5	2	1	0.99	typeTokenInput_12pt5	-0.000307914759670496	9.50E-09	0.15	0.05	1.03	1.01	0.470035948235428	0.11
2_1_01_12pt5___6	6	2	1	0.1	typeTokenInput_12pt5	-0.0232514109841123	9.25E-05	2.43999999999999	0.41	6.8299999999999	7.44999999999989	0.196234056365778	0.11
2_1_001_12pt5___6	6	2	1	0.01	typeTokenInput_12pt5	-0.152393838394923	0.00752916113143109	3.45999999999997	0	0	0	0.030472033264645	0.11
2_1_025_12pt5___9	9	2	1	0.25	typeTokenInput_12pt5	-0.0175000093209898	0.000128245629690423	0.54	0.5	2.74999999999998	0	0.0578669552763619	0.11
2_1_075_12pt5___6	6	2	1	0.75	typeTokenInput_12pt5	-0.00328452435303996	2.25E-06	0.23	0.08	8.77999999999986	8.18999999999987	0.32300414376148	0.11
2_1_005_12pt5___6	6	2	1	0.05	typeTokenInput_12pt5	-0.0500414157217203	0.00114536892719323	0.41	1.4	6.98999999999989	4.88999999999994	0.247870888560438	0.11
2_1_099_12pt5___6	6	2	1	0.99	typeTokenInput_12pt5	-0.000599771028398025	7.40E-08	0.22	0.05	10.4699999999998	9.89999999999983	0.32300414376148	0.11
2_1_01_12pt5___7	7	2	1	0.1	typeTokenInput_12pt5	-0.0309078834348167	0.000418857888612132	2.24	0.19	2.14	0	0.0149202977922943	0.11
2_1_001_12pt5___7	7	2	1	0.01	typeTokenInput_12pt5	-0.119908699936353	0.00631810786392487	4.88999999999994	1.36	0	0	0.0284705876900989	0.11
2_1_05_12pt5___1	1	2	1	0.5	typeTokenInput_12pt5	-0.00508803465792419	5.69E-06	0.38	0.27	8.36999999999987	7.72999999999988	0.32082130082461	0.11
2_1_025_12pt5___10	10	2	1	0.25	typeTokenInput_12pt5	-0.0231286802614153	0.000454607122821626	1.1	0.03	7.79999999999988	7.51999999999988	0.205870371800948	0.11
2_1_075_12pt5___7	7	2	1	0.75	typeTokenInput_12pt5	-0.00411109957130245	2.97E-06	0.41	0.06	8.44999999999986	8.06999999999987	0.325194727417688	0.11
