filetag	runNo	nlexCs	lexCstartW	pChangeIndexation	inputSet	likelihood	SSE	w_ku	w_fi	w_ku_pl	w_fi_pl	predicted_p_fi_wug	experiment_p_fi
24_2_099_50___82	82	24	2	0.99	typeTokenInput_50	-0.017902466598886755	2.6927164782691088e-05	0.15	1.6600000000000013	7.739999999999878	6.6699999999999005	0.3917409692534798	0.5
24_2_099_50___83	83	24	2	0.99	typeTokenInput_50	-0.01735629292893086	2.647348676083937e-05	0.23000000000000004	0.8000000000000005	5.139999999999933	4.849999999999939	0.4304537760607694	0.5
24_2_099_50___84	84	24	2	0.99	typeTokenInput_50	-0.02390500641209977	6.427056907104789e-05	0.6600000000000004	0.1499999999999999	7.15999999999989	7.14999999999989	0.6271477663131956	0.5
24_2_099_50___85	85	24	2	0.99	typeTokenInput_50	-0.03277435530286985	0.00019394937316786134	0.9100000000000006	0.23000000000000004	4.049999999999956	5.209999999999932	0.3822521252307568	0.5
24_2_05_50___85	85	24	2	0.5	typeTokenInput_50	-0.03534982433512501	0.00014834706981446373	0.8500000000000005	0.12999999999999998	6.649999999999901	7.13999999999989	0.5572478545985583	0.5
24_2_099_50___86	86	24	2	0.99	typeTokenInput_50	-0.01945726701580426	3.6431002466404574e-05	0.8300000000000005	0.22000000000000006	7.059999999999892	7.3699999999998855	0.5744425168116606	0.5
24_2_05_50___86	86	24	2	0.5	typeTokenInput_50	-0.06248655686964737	0.0016539334918930088	1.1000000000000008	0.17	4.959999999999937	6.789999999999898	0.2890504973750042	0.5
24_2_099_50___87	87	24	2	0.99	typeTokenInput_50	-0.020797971894651875	5.3184478616153415e-05	0.7600000000000005	0.16999999999999993	7.319999999999887	7.349999999999886	0.6364525402815664	0.5
24_1_05_50___65	65	24	1	0.5	typeTokenInput_50	-0.04272369262283301	0.0005082108623795514	0.3500000000000001	0.44000000000000017	7.409999999999885	7.059999999999892	0.5646362918030272	0.5
24_2_05_50___87	87	24	2	0.5	typeTokenInput_50	-0.020751939133858904	8.381534089336715e-05	1.320000000000001	0.04	7.029999999999893	7.709999999999878	0.6456563062257988	0.5
24_2_099_50___88	88	24	2	0.99	typeTokenInput_50	-0.021997024265282595	5.386986232428202e-05	1.480000000000001	0.18	6.789999999999898	7.5099999999998825	0.6410674063348207	0.5
24_1_05_50___66	66	24	1	0.5	typeTokenInput_50	-0.02847280767438325	9.496434456132546e-05	0	1.9600000000000015	7.5599999999998815	6.869999999999896	0.21925725208786906	0.5
24_2_05_50___88	88	24	2	0.5	typeTokenInput_50	-0.018643051761467435	3.195385712259568e-05	0.3400000000000001	0.27	7.079999999999892	7.349999999999886	0.4501660026875236	0.5
24_2_099_50___89	89	24	2	0.99	typeTokenInput_50	-0.021507174457526545	7.960995396257754e-05	0.8200000000000005	0.4000000000000002	7.0899999999998915	7.429999999999884	0.5199893401555835	0.5
24_1_05_50___67	67	24	1	0.5	typeTokenInput_50	-0.025704757848028063	6.73634417087565e-05	0.6200000000000003	0.5200000000000002	7.15999999999989	6.889999999999896	0.5914589784327786	0.5
24_2_05_50___89	89	24	2	0.5	typeTokenInput_50	-0.022877738843051852	9.430149508470455e-05	0.12999999999999995	0.9200000000000006	7.489999999999883	6.929999999999895	0.44275214540144125	0.5
24_2_099_50___90	90	24	2	0.99	typeTokenInput_50	-0.021076431741507216	3.7555940048276324e-05	0	1.8900000000000015	7.14999999999989	5.239999999999931	0.5049998333399892	0.5
24_1_05_50___68	68	24	1	0.5	typeTokenInput_50	-0.043048454267157185	0.0005569282360264301	0	1.360000000000001	7.499999999999883	5.169999999999932	0.725119497789813	0.5
24_2_05_50___90	90	24	2	0.5	typeTokenInput_50	-0.024796061663772524	6.756138185340756e-05	0.16	1.280000000000001	7.289999999999887	6.999999999999893	0.3036450701761644	0.5
24_2_099_50___91	91	24	2	0.99	typeTokenInput_50	-0.01718533914321737	2.4770166241432812e-05	0.29000000000000004	0.27	7.209999999999889	7.2799999999998875	0.48750260351579017	0.5
24_1_05_50___69	69	24	1	0.5	typeTokenInput_50	-0.029726187365907177	0.000183816380276701	0.5500000000000003	0.34000000000000014	6.969999999999894	7.379999999999885	0.4501660026875245	0.5
24_2_05_50___91	91	24	2	0.5	typeTokenInput_50	-0.023586859377675625	7.050301345703056e-05	0.17999999999999994	0.6200000000000003	4.769999999999941	3.2499999999999734	0.7464939833376559	0.5
24_2_099_50___92	92	24	2	0.99	typeTokenInput_50	-0.04002398756716376	0.00041377781573828876	0.03	0.8900000000000006	4.249999999999952	3.2499999999999734	0.5349429451582091	0.5
24_1_05_50___70	70	24	1	0.5	typeTokenInput_50	-0.01986319205961697	4.381646709106711e-05	1.1400000000000008	0.30000000000000004	6.799999999999898	7.799999999999876	0.4600851154444396	0.5
24_2_05_50___92	92	24	2	0.5	typeTokenInput_50	-0.04216158842478848	0.00040088107316360144	2.399999999999993	0.03	6.629999999999901	7.959999999999873	0.7388500060842531	0.5
24_1_001_50___67	67	24	1	0.01	typeTokenInput_50	-0.019169837350957845	3.167513137088012e-05	0.7200000000000004	0.20999999999999996	4.739999999999942	4.859999999999939	0.5962826992967886	0.5
24_2_099_50___93	93	24	2	0.99	typeTokenInput_50	-0.03408925247696021	0.00040511384373054774	1.1900000000000008	0.10999999999999999	6.959999999999894	7.589999999999881	0.6106392339492255	0.5
24_1_05_50___71	71	24	1	0.5	typeTokenInput_50	-0.02622553169136594	0.00021241575440550321	0.40000000000000013	0.5800000000000003	7.429999999999884	7.109999999999891	0.5349429451582128	0.5
24_2_05_50___93	93	24	2	0.5	typeTokenInput_50	-0.020670325174931923	3.948440520395987e-05	1.280000000000001	0.01	4.869999999999939	6.799999999999898	0.34073961154862414	0.5
24_2_001_50___92	92	24	2	0.01	typeTokenInput_50	-0.024690307015736376	8.043348897219946e-05	0.25	0.5600000000000003	6.559999999999903	4.479999999999947	0.8544576710630291	0.5
