filetag	runNo	nlexCs	lexCstartW	pChangeIndexation	inputSet	likelihood	SSE	w_ku	w_fi	w_ku_pl	w_fi_pl	predicted_p_fi_wug	experiment_p_fi
2_1_075_50___1	1	2	1	0.75	typeTokenInput_50	-0.0035842048913014906	1.1640508544975772e-06	0.01	0.21000000000000005	8.819999999999856	8.889999999999855	0.5670929049654543	0.5
2_1_075_50___2	2	2	1	0.75	typeTokenInput_50	-0.005334112032072957	2.410124398319353e-06	0.16	0.03	8.419999999999865	8.419999999999865	0.46754569361268106	0.5
2_1_075_50___3	3	2	1	0.75	typeTokenInput_50	-0.004339379861442731	1.6213667867375798e-06	0.09	0.04	8.67999999999986	8.589999999999861	0.4650570548417858	0.5
2_1_05_50___1	1	2	1	0.5	typeTokenInput_50	-0.012529945777349364	2.259752669133669e-05	0.2800000000000001	0.18	1.01	0	0.24787088856042985	0.5
2_1_025_50___1	1	2	1	0.25	typeTokenInput_50	-0.00852872854814772	6.093368122856118e-06	0.060000000000000005	0.3900000000000002	8.029999999999873	7.859999999999876	0.5399148845555662	0.5
2_1_075_50___4	4	2	1	0.75	typeTokenInput_50	-0.005122457002127987	2.2841229057327642e-06	0.019999999999999997	0.12999999999999998	8.439999999999864	8.509999999999863	0.5448788923735799	0.5
2_1_05_50___2	2	2	1	0.5	typeTokenInput_50	-0.007473471515131035	6.754600124980093e-06	0.10999999999999999	0.3100000000000001	1.2400000000000002	0	0.261149993915751	0.5
2_1_01_50___1	1	2	1	0.1	typeTokenInput_50	-0.06454884639923758	0.005876505116438949	0.7300000000000004	0.19	0	0	0.36818758226389825	0.5
2_1_025_50___2	2	2	1	0.25	typeTokenInput_50	-0.008987648244646873	6.930679343945828e-06	0.04	0.5000000000000002	7.999999999999874	7.809999999999877	0.5670929049654556	0.5
2_1_005_50___1	1	2	1	0.05	typeTokenInput_50	-0.07605221473292302	0.0013133787583976889	0.5200000000000002	0.7200000000000004	0	0	0.549833997312478	0.5
2_1_075_50___5	5	2	1	0.75	typeTokenInput_50	-0.009893724194791552	1.4256537472391063e-05	0.07	0.18	0	1.2000000000000002	0.7875131558774608	0.5
2_1_05_50___3	3	2	1	0.5	typeTokenInput_50	-0.007509279339109671	7.862039491834411e-06	0.34000000000000014	1.420000000000001	1.2900000000000003	0	0.4476920904256749	0.5
2_1_01_50___2	2	2	1	0.1	typeTokenInput_50	-0.1705960788724467	0.035625648055553766	0.5900000000000003	0.20999999999999996	3.219999999999975	2.739999999999985	0.2973393456552706	0.5
2_1_099_50___1	1	2	1	0.99	typeTokenInput_50	-0.0004458875583858543	1.6617681935114108e-08	0	0.07	10.899999999999812	10.889999999999812	0.5149955016194102	0.5
2_1_025_50___3	3	2	1	0.25	typeTokenInput_50	-0.009589050031564472	7.659620508849971e-06	0.01	2.0300000000000007	5.9099999999999175	1.9800000000000009	0.12898085214624516	0.5
2_1_005_50___2	2	2	1	0.05	typeTokenInput_50	-0.03031789447154444	0.00012768204458049593	0.7900000000000005	1.0400000000000007	2.51999999999999	4.059999999999957	0.8569272765199152	0.5
2_1_001_50___1	1	2	1	0.01	typeTokenInput_50	-0.043336789286206975	0.0002227579641693729	1.0600000000000007	0.9200000000000006	5.759999999999921	5.889999999999918	0.4975000208331244	0.5
2_1_01_50___3	3	2	1	0.1	typeTokenInput_50	-0.05245156831090823	0.0019284743671859612	1.0100000000000007	0.8700000000000006	0	0	0.46505705484178544	0.5
2_1_075_50___6	6	2	1	0.75	typeTokenInput_50	-0.0037283436691505035	1.192940943864601e-06	0.09999999999999999	0.10999999999999999	8.729999999999858	8.839999999999856	0.5299640517645712	0.5
2_1_05_50___4	4	2	1	0.5	typeTokenInput_50	-0.005677383220246249	2.689710417948875e-06	0.11999999999999998	0.8600000000000005	1.4400000000000004	0	0.33181222783183395	0.5
