filetag	runNo	nlexCs	lexCstartW	pChangeIndexation	inputSet	likelihood	SSE	w_ku	w_fi	w_ku_pl	w_fi_pl	predicted_p_fi_wug	experiment_p_fi
2_1_001_50___1	1	2	1	0.01	typeTokenInput_50	-0.19929047478068418	0.00557254571698765	0.7500000000000004	1.1600000000000008	4.83999999999994	5.219999999999932	0.6878313305828387	0.5
2_1_001_50___2	2	2	1	0.01	typeTokenInput_50	-0.12210714368265482	0.0016592213718973773	2.2799999999999954	0.5200000000000002	5.429999999999928	6.549999999999904	0.3452465393936766	0.5
2_1_001_50___3	3	2	1	0.01	typeTokenInput_50	-0.3363977394649894	0.022821461534512474	1.350000000000001	0.3600000000000001	0	3.629999999999966	0.9333919644249071	0.5
2_1_005_50___1	1	2	1	0.05	typeTokenInput_50	-0.16809690970568367	0.006473422312847846	0.7800000000000005	1.2400000000000007	6.539999999999904	6.129999999999913	0.5124973964842128	0.5
2_1_001_50___4	4	2	1	0.01	typeTokenInput_50	-0.13063432835719152	0.0018286085518595192	0.6000000000000003	1.0100000000000007	0	0	0.6010878788483698	0.5
2_1_005_50___2	2	2	1	0.05	typeTokenInput_50	-0.25937776489603154	0.0198377742974481	0.5900000000000003	0.3600000000000001	0	0	0.44275214540144436	0.5
2_1_01_50___1	1	2	1	0.1	typeTokenInput_50	-2.9367667954731242	2.0671961420026377	2.1799999999999975	0.07	0	5.949999999999917	0.97895865297953	0.5
2_1_001_50___5	5	2	1	0.01	typeTokenInput_50	-0.17904138397114305	0.004123015987087323	0	2.1199999999999988	5.949999999999917	3.9499999999999593	0.529964051764582	0.5
2_1_005_50___3	3	2	1	0.05	typeTokenInput_50	-0.22834925320013766	0.025435688578148548	0.9800000000000006	0.7400000000000004	0	0	0.44028635073280703	0.5
2_1_01_50___2	2	2	1	0.1	typeTokenInput_50	-0.43627261818609264	0.0839701884836712	0.20999999999999996	0.6900000000000004	2.699999999999986	2.8999999999999817	0.6637386974043519	0.5
2_1_025_50___1	1	2	1	0.25	typeTokenInput_50	-0.027596234386188787	6.36982893086474e-05	0.44000000000000017	0.3900000000000001	6.7299999999999	6.809999999999898	0.5074994375506198	0.5
2_1_001_50___6	6	2	1	0.01	typeTokenInput_50	-0.15322128781241198	0.002476069670280242	2.2199999999999966	0.4500000000000002	4.5499999999999465	6.109999999999913	0.44769209042566754	0.5
2_1_005_50___4	4	2	1	0.05	typeTokenInput_50	-0.214223748768779	0.016114822732529715	0	3.569999999999968	5.029999999999936	0	0.1884673252138243	0.5
2_1_01_50___3	3	2	1	0.1	typeTokenInput_50	-0.09687242138093198	0.0025520470474037294	0.7500000000000004	0.060000000000000005	6.439999999999906	6.599999999999903	0.3705168880326041	0.5
2_1_025_50___2	2	2	1	0.25	typeTokenInput_50	-0.031336483598705084	9.510099949758628e-05	0.5100000000000002	1.1700000000000008	1.7600000000000007	0	0.2497398944048824	0.5
2_1_05_50___1	1	2	1	0.5	typeTokenInput_50	-0.015564421769076667	2.0355149311184206e-05	0.15	0.08	7.289999999999888	7.399999999999886	0.5099986668799648	0.5
2_1_001_50___7	7	2	1	0.01	typeTokenInput_50	-0.14114297422455005	0.0028970527184560488	0.6400000000000003	0.8800000000000006	0	0	0.559713649267193	0.5
2_1_005_50___5	5	2	1	0.05	typeTokenInput_50	-0.1631983820952335	0.004317002385759059	0.16999999999999993	0.34000000000000014	6.26999999999991	6.059999999999914	0.49000133312003563	0.5
2_1_01_50___4	4	2	1	0.1	typeTokenInput_50	-0.33228057062159955	0.09455182321071433	0.7600000000000005	0.04	0	0	0.32739298293223945	0.5
2_1_025_50___3	3	2	1	0.25	typeTokenInput_50	-0.03410278541789347	0.00010495806362600504	0	1.7500000000000013	5.369999999999929	2.689999999999986	0.2829247145070392	0.5
2_1_05_50___2	2	2	1	0.5	typeTokenInput_50	-0.02342348695738664	4.6438154575207294e-05	0.20000000000000004	0.06999999999999998	0	0	0.4675456936126813	0.5
2_1_005_50___6	6	2	1	0.05	typeTokenInput_50	-0.10723720357106617	0.002535837976653636	0.8200000000000005	0.04	6.119999999999913	6.529999999999904	0.4085410215672178	0.5
2_1_075_50___1	1	2	1	0.75	typeTokenInput_50	-0.02175924254935455	6.428325389627193e-05	0.09	0.07	1.1	0	0.24601128355105187	0.5
2_1_001_50___8	8	2	1	0.01	typeTokenInput_50	-0.131878222582326	0.0025959158059593963	0.8300000000000005	0.8400000000000005	5.059999999999936	4.819999999999941	0.4427521454014457	0.5
2_1_01_50___5	5	2	1	0.1	typeTokenInput_50	-0.09543725896217997	0.0030091681505316366	1.9600000000000015	0.009999999999999997	3.739999999999964	5.829999999999919	0.534942945158203	0.5
2_1_025_50___4	4	2	1	0.25	typeTokenInput_50	-0.030681568742666226	8.267496267209059e-05	1.2400000000000009	0.3100000000000001	0	1.7700000000000007	0.6984652160025389	0.5
2_1_05_50___3	3	2	1	0.5	typeTokenInput_50	-0.015770570422932534	2.4038868976580508e-05	0.25000000000000006	0.10999999999999996	7.509999999999883	7.3199999999998875	0.41824062315816485	0.5
2_1_075_50___2	2	2	1	0.75	typeTokenInput_50	-0.01454285958976993	1.784437542095627e-05	0.060000000000000005	0.15	0	0	0.5224848247918001	0.5
2_1_001_50___9	9	2	1	0.01	typeTokenInput_50	-0.2256076671601256	0.006290470975015801	2.3099999999999947	0	0	3.159999999999976	0.7005671424739691	0.5
2_1_075_50___2	7	2	1	0.05	typeTokenInput_50	-0.013305868564971278	1.7114641752552432e-05	0.019999999999999997	0.12999999999999998	7.479999999999884	7.68999999999988	0.5793242521487485	0.5
2_1_099_50___1	1	2	1	0.99	typeTokenInput_50	-0.0014298622835717918	1.7097709941424485e-07	0.01	0.04	9.719999999999837	9.739999999999837	0.5124973964842101	0.5
2_1_01_50___6	6	2	1	0.1	typeTokenInput_50	-0.19756153640745794	0.02633452408055988	0.7400000000000004	0.5900000000000003	0	0	0.46257015465625045	0.5
2_1_025_50___5	5	2	1	0.25	typeTokenInput_50	-0.029460209345945947	7.815424926029061e-05	0.35000000000000014	0.18999999999999995	1.2200000000000002	1.5100000000000005	0.5324543063873188	0.5
2_1_05_50___4	4	2	1	0.5	typeTokenInput_50	-0.01878813096807894	2.9557470433847562e-05	0.09999999999999999	0.15999999999999998	7.149999999999891	7.159999999999891	0.5174928576663897	0.5
2_1_075_50___3	3	2	1	0.75	typeTokenInput_50	-0.012908524188461959	1.4616269793134773e-05	0.15	0.07	7.449999999999885	7.65999999999988	0.5324543063873176	0.5
2_1_001_50___10	10	2	1	0.01	typeTokenInput_50	-0.13844023579144493	0.0019968713424280884	0.9700000000000006	0.8000000000000005	4.749999999999942	4.769999999999942	0.46257015465625034	0.5
2_1_005_50___8	8	2	1	0.05	typeTokenInput_50	-0.15315153503126994	0.008239011403302124	1.0700000000000007	0.5700000000000003	0	0	0.3775406687981453	0.5
2_1_099_50___2	2	2	1	0.99	typeTokenInput_50	-0.0007684289766113196	4.928398597690948e-08	0.04	0.019999999999999997	1.05	1.0	0.48250714233361025	0.5
2_1_01_50___7	7	2	1	0.1	typeTokenInput_50	-0.05825475179106104	0.0010060623765799383	1.8300000000000014	0.04	1.8000000000000007	5.079999999999935	0.8160782725804857	0.5
2_1_05_50___5	5	2	1	0.5	typeTokenInput_50	-0.013952613375078915	1.819194909451459e-05	0.3300000000000001	0.15999999999999998	7.579999999999882	7.449999999999885	0.42555748318834175	0.5
2_1_025_50___6	6	2	1	0.25	typeTokenInput_50	-0.03193041535597715	8.62620067659395e-05	1.5800000000000012	0.019999999999999997	2.0200000000000005	5.169999999999933	0.8306161030659717	0.5
2_1_001_50___11	11	2	1	0.01	typeTokenInput_50	-0.1332287064935907	0.0018819401943668923	0.9100000000000006	0.5800000000000003	0	0	0.4182406231581637	0.5
2_1_075_50___4	4	2	1	0.75	typeTokenInput_50	-0.013385023002886059	1.5028691848782112e-05	0.12999999999999998	0.060000000000000005	0	0	0.4825071423336103	0.5
2_1_099_50___3	3	2	1	0.99	typeTokenInput_50	-0.001384426171228806	1.6114295026566726e-07	0.009999999999999997	0.05	9.809999999999835	9.719999999999837	0.4875026035157904	0.5
2_1_005_50___9	9	2	1	0.05	typeTokenInput_50	-1.1646993425505248	0.42826838833993935	0	1.9400000000000015	5.499999999999926	0	0.027652422322825162	0.5
2_1_01_50___8	8	2	1	0.1	typeTokenInput_50	-0.06496272069472395	0.0008954262755393964	0.4900000000000002	1.2000000000000008	6.599999999999903	6.439999999999906	0.6341355910108016	0.5
2_10_001_50___1	1	2	10	0.01	typeTokenInput_50	-0.0017533829678635126	3.778292071771743e-07	0.30000000000000004	1.2100000000000009	9.270000000000016	9.51000000000001	0.7595109169491101	0.5
2_1_025_50___7	7	2	1	0.25	typeTokenInput_50	-0.03146593926775723	9.003578068951157e-05	1.310000000000001	0.2700000000000001	0	1.4400000000000004	0.5986876601124519	0.5
2_1_05_50___6	6	2	1	0.5	typeTokenInput_50	-0.021695059419067842	4.5086143599748156e-05	0.019999999999999997	0.22000000000000006	7.019999999999894	7.159999999999891	0.5841905229354066	0.5
2_1_075_50___5	5	2	1	0.75	typeTokenInput_50	-0.012435589925057377	1.2880637529622097e-05	0.10999999999999999	0.060000000000000005	0	0	0.48750260351578967	0.5
2_1_001_50___12	12	2	1	0.01	typeTokenInput_50	-0.1363443674454453	0.0018545477657391277	0.29000000000000004	1.9800000000000013	6.2399999999999105	5.269999999999931	0.6726070170677653	0.5
2_1_005_50___10	10	2	1	0.05	typeTokenInput_50	-0.20046868762893078	0.016870211028249198	0.7000000000000004	0.19999999999999996	0	0	0.37754066879814535	0.5
2_1_099_50___4	4	2	1	0.99	typeTokenInput_50	-0.0022964709665707155	4.39977244789945e-07	0.03	0.04	1.02	0.99	0.4950001666600003	0.5
2_10_099_50___1	1	2	10	0.99	typeTokenInput_50	-0.0003232965950239241	8.710157769356493e-09	0.01	0.01	10.0	9.99	0.49750002083312506	0.5
2_10_001_50___2	2	2	10	0.01	typeTokenInput_50	-0.011132400578690348	1.9292535721402516e-05	2.349999999999994	1.7800000000000016	9.810000000000004	9.120000000000019	0.2209738922201915	0.5
2_1_025_50___8	8	2	1	0.25	typeTokenInput_50	-0.029757997162639972	7.69959772765713e-05	0.41000000000000014	0.4300000000000002	6.649999999999902	6.779999999999899	0.5374298453437489	0.5
2_1_01_50___9	9	2	1	0.1	typeTokenInput_50	-0.14972118061726722	0.014679619264854019	0.09	0.3900000000000002	6.7399999999999	6.489999999999905	0.5124973964842119	0.5
