filetag	runNo	nlexCs	lexCstartW	pChangeIndexation	inputSet	likelihood	SSE	w_ku	w_fi	w_ku_pl	w_fi_pl	predicted_p_fi_wug	experiment_p_fi
2_1_001_50_diffMorph___1	1	2	1	0.01	typeTokenInput_50_diffMorph	-0.016434124273567406	4.927337139253452e-05	0.4300000000000002	0.21999999999999997	0.4300000000000002	0.21999999999999997	0.4476920904256747	0.5
2_1_099_50_diffMorph___1	1	2	1	0.99	typeTokenInput_50_diffMorph	-0.002202972067132098	4.076437377654604e-07	0.09999999999999999	0.05	0.09999999999999999	0.05	0.4875026035157897	0.5
2_1_001_50_diffMorph___2	2	2	1	0.01	typeTokenInput_50_diffMorph	-0.011547231188282199	2.870346425181306e-05	0	1.410000000000001	0	1.410000000000001	0.8037659436342209	0.5
2_1_005_50_diffMorph___1	1	2	1	0.05	typeTokenInput_50_diffMorph	-0.009032693080167983	1.8911050191036798e-05	0.42000000000000015	0.16	0.42000000000000015	0.16	0.43536370819697084	0.5
2_1_01_50_diffMorph___1	1	2	1	0.1	typeTokenInput_50_diffMorph	-0.007989249755530446	2.0938995847488146e-05	0.13999999999999999	0.10999999999999996	0.13999999999999999	0.10999999999999996	0.49250056244937956	0.5
2_1_099_50_diffMorph___2	2	2	1	0.99	typeTokenInput_50_diffMorph	-0.0019703592000882473	3.250793181162263e-07	0.11999999999999998	0.060000000000000005	0.11999999999999998	0.060000000000000005	0.48500449838058995	0.5
2_1_001_50_diffMorph___3	3	2	1	0.01	typeTokenInput_50_diffMorph	-0.013002897363396937	2.4493800436813745e-05	2.8899999999999824	0.09999999999999999	2.8899999999999824	0.09999999999999999	0.05786695527636198	0.5
2_1_005_50_diffMorph___2	2	2	1	0.05	typeTokenInput_50_diffMorph	-0.014281714615516212	4.782491728110897e-05	0.3000000000000001	0.049999999999999975	0.3000000000000001	0.049999999999999975	0.4378234991142019	0.5
2_1_01_50_diffMorph___2	2	2	1	0.1	typeTokenInput_50_diffMorph	-0.011508606973818085	2.72658025287716e-05	0.02	0.2800000000000001	0.02	0.2800000000000001	0.5646362918030292	0.5
2_1_099_50_diffMorph___3	3	2	1	0.99	typeTokenInput_50_diffMorph	-0.0020212334605312597	3.5241640207824933e-07	0.04	0.09	0.04	0.09	0.5124973964842103	0.5
