lexemes 	 segments 	 listed_at_timestep
marel_pl13	marelfi	2
zakta_pl8	zaktaku	3
lugat_pl1	lugatfi	4
gazal_pl5	gazalku	5
pisfu_pl15	pisfuku	11
trapla_pl19	traplaku	12
glakod_pl16	glakodku	29
drokra_pl14	drokrafi	30
dosid_pl7	dosidfi	31
tazku_pl11	tazkuku	33
tikle_pl4	tikleku	36
blezan_pl18	blezanku	38
krakle_pl10	kraklefi	43
fudki_pl2	fudkifi	50
flebon_pl6	flebonku	54
same_pl21	sameku	56
freglu_pl3	fregluku	74
mafdi_pl17	mafdiku	85
brugan_pl12	bruganku	101
vidfo_pl20	vidfoku	119
gragol_pl9	gragolku	149
kisal_pl23	kisalku	233
tutun_pl24	tutunku	310
truvit_pl22	truvitku	921
